,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
9962,මම කලින් කියපු දේ...,හරියට මැරිලා හිටියා. ඔබ සිතන්නේ ඩන්බාර් මට්ටමේ සිටින බවයි?
9963,හරියට මැරිලා හිටියා. ඔබ සිතන්නේ ඩන්බාර් මට්ටමේ සිටින බවයි?,ඔව්.
9964,ඔව්.,ඔස්බෝන් එකඟද?
9965,එය හමාරයි. මරණ වේලාව 4:42 යි. JAG ට දැනුම් දී ඇති අතර මම සෙනෙට් සභිකයාට කතා කළෙමි. ඔහුගේ සෞඛ්‍ය තත්වය මෙය නොවැළැක්විය හැකි බව මගේ වාර්තාවෙන් පිළිබිඹු වේ... ඔබ දෙදෙනාට මේ කාරණය සම්බන්ධයෙන් කිසිදු වරදක් නොතිබුණි.,එය අශ්වාරෝහකයක් වන අතර ඔබ එය දන්නවා.
9966,එය අශ්වාරෝහකයක් වන අතර ඔබ එය දන්නවා.,සමහර විට. නමුත් එය මගේ වරදක් වන අතර මම එය රැගෙන යන්නෙමි.
9967,ඔයා හිතනවද ඔයාට මට මේ හැමදේම පැහැදිලි කරන්න පුළුවන් කියලා?,කොහෙන් පටන් ගන්නද කියලා මම දන්නේ නැහැ. මම හිතන්නේ ඒක එක මිනිහෙක් තව කෙනෙක්ව කොටු කරන එක ගැන. අනෙක් පුද්ගලයාට දොස් පැවරුවහොත් මිනිසුන් තමාගේම වැරදි දෙස බලනු ඇතැයි ඔහු සිතුවේය.
9968,ඔවුන් ඔබේ අණ ගන්නවා නේද?,සෙනෙට් සභික...
9969,"මට සමාවෙන්න, බිල්.",වෙන්න එපා. ලෝකයේ බටහිරයන් සමඟ ගනුදෙනු කිරීමට මම කැපවී නැත.
9970,වෙන්න එපා. ලෝකයේ බටහිරයන් සමඟ ගනුදෙනු කිරීමට මම කැපවී නැත.,"ඔයා හොඳ සොල්දාදුවෙක්, බිල්."
9971,"ඔයා හොඳ සොල්දාදුවෙක්, බිල්.",මම හිතුවේ ඔයා කිව්වා ඒක ප්‍රශංසාවක් නෙවෙයි කියලා.
9972,"ඒක ගොඩක් හොඳයි, ඇත්තටම මට අමතක වුනා ඔයා දැන් ලොකු බල්ලන්ගෙන් කෙනෙක් කියලා. කඳවුරු අණ දෙන නිලධාරියා. පාලනය කරන කෙනා. ඔබට ඔහුට සාක්ෂි දීමට ඉඩ දිය නොහැකි විය, නේද?",ඔයා මොනවද කියවන්නේ?
9973,ඔයා මොනවද කියවන්නේ?,"ඔබ ඔහුට සාක්ෂි දීමට ඉඩ දුන්නොත් සියල්ල එළියට එනු ඇත. බටහිරට එය එතැනින් බලා ගත යුතු විය, නූනෙස්ව වසා දමා පසුව අතුරුදහන් විය. නමුත් එය අවුල් වී මිනිසුන් මරා දමන ලදී. ඉතින් ඔබ ඔබේ පැරණි මිතුරා ටොම් හාඩි ඇමතුවා, නරක අතට හැරුණොත්, ඔහු ඔබ වෙනුවෙන් ආවරණය කරයි."
9974,"ඔබ ඔහුට සාක්ෂි දීමට ඉඩ දුන්නොත් සියල්ල එළියට එනු ඇත. බටහිරට එය එතැනින් බලා ගත යුතු විය, නූනෙස්ව වසා දමා පසුව අතුරුදහන් විය. නමුත් එය අවුල් වී මිනිසුන් මරා දමන ලදී. ඉතින් ඔබ ඔබේ පැරණි මිතුරා ටොම් හාඩි ඇමතුවා, නරක අතට හැරුණොත්, ඔහු ඔබ වෙනුවෙන් ආවරණය කරයි.",ඔයා බීලා --
9975,ඔයා බීලා --,"මම ඔබ වෙනුවෙන් ආවරණය කිරීමට යන්නේ නැහැ, බිල්. මේ සඳහා නොවේ."
9976,ඉන්න තැනම ඉන්න.,නැත්තම් මොකද්ද? ඔබ වංගුව වටේ ගියා...
9977,නැත්තම් මොකද්ද? ඔබ වංගුව වටේ ගියා...,බටහිරට සහකරුවෙක් සිටියේය. වැඩේ හරියට කරගන්න දන්න කෙනෙක්.
9978,"මට තේරුම් ගන්න බැරි දේ තමයි ඔයා මේවා අත්සන් කළේ ඇයි කියලා. ඔබ බටහිරට ලේඛන කටයුතු බලා ගැනීමට ඉඩ දුන්නේ නම්, කිසිවෙකු දැන නොගනු ඇත, නමුත් ඔබ නොසැලකිලිමත් විය. ඉතින් පයික් අන්තිමට ඇත්ත කිව්වම ඔයාටත් එයාව අයින් කරන්න වෙනවා.",ඒක විකාරයක්...
9979,ඒක විකාරයක්...,"විෂ විද්‍යා වාර්තාව නැවත පැමිණියේය. කෙන්ඩල්ගේ ප්‍රහාරය ඇනෙෆඩ්‍රීන් නම් ඖෂධයක් නිසා ඇති වූවක්, සමහරවිට ඔබ එය අසා ඇති. එය ඇදුම රෝගීන් සඳහා ය. අපස්මාර රෝගියෙකු ප්‍රමාණවත් ප්‍රමාණයක් ලබා ගන්නේ නම්, එය ඔවුන්ව මරා දමයි. මම රෝහලේ හෙදියන් සමඟ පරීක්‍ෂා කළෙමි -- කෙන්ඩල් වෙත පැමිණි අනෙක් පුද්ගලයා ඔබයි."
9980,"විෂ විද්‍යා වාර්තාව නැවත පැමිණියේය. කෙන්ඩල්ගේ ප්‍රහාරය ඇනෙෆඩ්‍රීන් නම් ඖෂධයක් නිසා ඇති වූවක්, සමහරවිට ඔබ එය අසා ඇති. එය ඇදුම රෝගීන් සඳහා ය. අපස්මාර රෝගියෙකු ප්‍රමාණවත් ප්‍රමාණයක් ලබා ගන්නේ නම්, එය ඔවුන්ව මරා දමයි. මම රෝහලේ හෙදියන් සමඟ පරීක්‍ෂා කළෙමි -- කෙන්ඩල් වෙත පැමිණි අනෙක් පුද්ගලයා ඔබයි.",මට ඕන උනේ එයා හොදින්ද බලන්න...
9981,මට ඕන උනේ එයා හොදින්ද බලන්න...,"ඔබ ඔහුට වස දුන්නා, බිල්. අපේ ප්‍රශ්න කිරීම් ඔබට ඇහුනා, ඔහු කඩන්න සූදානම් බව ඔබ දැන සිටියා, එබැවින් ඔබ ඔහුව පයික් මෙන් මරා දැමුවා."
9982,"ඔබ ඔහුට වස දුන්නා, බිල්. අපේ ප්‍රශ්න කිරීම් ඔබට ඇහුනා, ඔහු කඩන්න සූදානම් බව ඔබ දැන සිටියා, එබැවින් ඔබ ඔහුව පයික් මෙන් මරා දැමුවා.",මම ඒකට ගරු කරන්නවත් යන්නේ නෑ...
9983,මම ඒකට ගරු කරන්නවත් යන්නේ නෑ...,"නැත! ඔබ එහි සිටගෙන සවන් දෙනු ඇත! ඔයාට මොකද වුණේ, බිල්? ඔබ ලොවට යහපතක් කිරීමට එක් වූ අයෙකි. ඔයා තමයි ඒක විශ්වාස කළේ..."
9984,"නැත! ඔබ එහි සිටගෙන සවන් දෙනු ඇත! ඔයාට මොකද වුණේ, බිල්? ඔබ ලොවට යහපතක් කිරීමට එක් වූ අයෙකි. ඔයා තමයි ඒක විශ්වාස කළේ...","ඔබට චරිතය ගැන ඇඟිල්ල දිගු කිරීමේ තරඟයකට යාමට අවශ්‍යද? හමුදාව ඔබව මත්ද්‍රව්‍ය සඳහා පන්නා දැමුවා, මැරයෙක්ගෙන් අල්ලස් ගැනීම නිසා පොලිසිය ඔබව සේවයෙන් පහ කළා, ඔබ සිතන්නේ ඔබට එහි සිටගෙන මට ආචාර ධර්ම පිළිබඳ දේශන පවත්වන්න පුළුවන් කියාද? මෙම කාමරයේ සිටින්නේ එකම අපරාධකරුවෙක් වන අතර ඒ ඔබයි."
9985,"ඔබට චරිතය ගැන ඇඟිල්ල දිගු කිරීමේ තරඟයකට යාමට අවශ්‍යද? හමුදාව ඔබව මත්ද්‍රව්‍ය සඳහා පන්නා දැමුවා, මැරයෙක්ගෙන් අල්ලස් ගැනීම නිසා පොලිසිය ඔබව සේවයෙන් පහ කළා, ඔබ සිතන්නේ ඔබට එහි සිටගෙන මට ආචාර ධර්ම පිළිබඳ දේශන පවත්වන්න පුළුවන් කියාද? මෙම කාමරයේ සිටින්නේ එකම අපරාධකරුවෙක් වන අතර ඒ ඔබයි.",වැඩි කලක් නොවේ.
9986,"තවත් සාක්ෂිකරුවන් නැත. බටහිර යනු අවතාරයක්. නමුත් ඔබේ අත්සනත්, රෝහල් ලොගයත්, කෙන්ඩල්ගේ විෂ විද්‍යා වාර්තාවත් අප සතුව ඇති නිසා කමක් නැත. සහ එය ප්රමාණවත් වනු ඇත.",ඔබට පිස්සු --
9987,ඔබට පිස්සු --,ඔයාට මේක අතාරින්න බෑ බිල්. මම මගේ ජීවිතේ හැම මගුලක්ම වැරදියට කරලා ඇති නමුත් මම එහෙම වෙන්න දෙන්නේ නැහැ.
9988,ඔයාට මේක අතාරින්න බෑ බිල්. මම මගේ ජීවිතේ හැම මගුලක්ම වැරදියට කරලා ඇති නමුත් මම එහෙම වෙන්න දෙන්නේ නැහැ.,"අවසාන වතාවට, ඔබ කතා කරන්නේ කුමක් දැයි මට වැටහෙන්නේ නැත --"
9989,"අවසාන වතාවට, ඔබ කතා කරන්නේ කුමක් දැයි මට වැටහෙන්නේ නැත --",ඔබේ දෑත් මේසයෙන් ඉවතට ගන්න!
9990,සතුරු සහ සහයෝගී නොවේ.,මනරම්. මොකද වෙන්නේ කියලා මට කියන්න ඕනද?
9991,"අහ්, ක්රිස්තුස්",ඔබ සාජන් වෙස්ට් දැන සිටියාද?
9992,ඔබ සාජන් වෙස්ට් දැන සිටියාද?,ඔහු මෙහි අපේ සරඹ විය. මිනිසා වැලි වලට වඩා පැරණි ය.
9993,මම ඒක කිව්වේ ප්‍රශංසාවක් විදියට නෙවෙයි.,සාජන් වෙස්ට් වසර විසිතුනක් සේවය කළේය. ඔහු නූතන හමුදාවේ පොදු මුහුණුවරයි.
9994,සාජන් වෙස්ට් වසර විසිතුනක් සේවය කළේය. ඔහු නූතන හමුදාවේ පොදු මුහුණුවරයි.,මම තවදුරටත් හමුදාවේ නැති බව ඔබට පෙනේ.
9995,"අවංක විය යුතුයි, ඔබ ස්ථානය සමඟ කළ දේට මම කැමතියි --",ඔබ සහ කර්නල් ආපසු යන්න.
9996,ඔබ සහ කර්නල් ආපසු යන්න.,ඔහු මාව මූලික සහ තවත් බොහෝ දේවල් හරහා ලබා ගත්තා. මම ඔහුට ණයගැතියි.
9997,ඔහු මාව මූලික සහ තවත් බොහෝ දේවල් හරහා ලබා ගත්තා. මම ඔහුට ණයගැතියි.,මම පත්තරවල කියවපු ටොම් හාඩි ඔයා නේද? Guissepe Torres ගෙන් අල්ලස් ගැනීම නිසා New Orleans PD ඔබව සේවයෙන් පහ කළා.
9998,මම පත්තරවල කියවපු ටොම් හාඩි ඔයා නේද? Guissepe Torres ගෙන් අල්ලස් ගැනීම නිසා New Orleans PD ඔබව සේවයෙන් පහ කළා.,"එය අල්ලස් ගැන සැකයක් සඳහා විය, ඒ සියල්ල ඇත්ත වශයෙන්ම වචනවල ඇත --"
9999,"එය අල්ලස් ගැන සැකයක් සඳහා විය, ඒ සියල්ල ඇත්ත වශයෙන්ම වචනවල ඇත --","වචන කීම සහ කර්නල් සමඟ ඔබේ මිත්‍රත්වය පසෙක තබා, ඔබ මෙයට සම්බන්ධ වීම මට පහසු නැත."
10000,"වචන කීම සහ කර්නල් සමඟ ඔබේ මිත්‍රත්වය පසෙක තබා, ඔබ මෙයට සම්බන්ධ වීම මට පහසු නැත.","සූක්ෂ්ම බව ඇත්ත වශයෙන්ම ඔබගෙන් එක් සියුම් කරුණක් නොවේ, එය ඔස්බෝන්?"
10001,"කරුණු තුනක්. පළමුව -- ඔබට තේරීමක් නැත. දෙවනුව -- මම මගේ ජීවිතයේ කිසි දිනෙක පගාවක් ගෙන නැත. තෙවනුව -- මම ඊයේ රාත්‍රියේ සිට තවමත් මඳක් බීමත්ව සිටිමි, එබැවින් මම විහිළු තහළු මඟ හැර ඔබට කෙළින්ම පහර දීමට ඉදිරියට ගියහොත්, අමනාප නොවී සිටීමට උත්සාහ කරන්න. කොල්ලො දෙන්නා ගැන කියන්න.","සුළි කුණාටුව අපේ මේන්ෆ්‍රේම් එක කඩා දැමුවේය, එබැවින් අපට ඇත්තේ ඔවුන්ගේ සුනඛ ටැග් පමණි. ශිෂ්‍යභටයින් වන රේමන්ඩ් ඩන්බාර් සහ ලෙවි කෙන්ඩල් --"
10002,"සුළි කුණාටුව අපේ මේන්ෆ්‍රේම් එක කඩා දැමුවේය, එබැවින් අපට ඇත්තේ ඔවුන්ගේ සුනඛ ටැග් පමණි. ශිෂ්‍යභටයින් වන රේමන්ඩ් ඩන්බාර් සහ ලෙවි කෙන්ඩල් --",ලෙවී? ඔවුන්ගේ දරුවාට ලෙවී නම් කරන්නේ කවුද?
10003,ලෙවී? ඔවුන්ගේ දරුවාට ලෙවී නම් කරන්නේ කවුද?,ඔහියෝහි සෙනෙට් සභික ජොනතන් කෙන්ඩල්.
10004,ඔහියෝහි සෙනෙට් සභික ජොනතන් කෙන්ඩල්.,ක්‍රිස්තුස්... දුරකථනයෙන් ඒ බව සඳහන් කිරීම ගැන බිල්ට ස්තූති කිරීමට මට මතක් කරන්න --
10005,ක්‍රිස්තුස්... දුරකථනයෙන් ඒ බව සඳහන් කිරීම ගැන බිල්ට ස්තූති කිරීමට මට මතක් කරන්න --,කෙන්ඩල් ජූනියර් තවමත් ශල්‍යකර්මයක යෙදී සිටින නිසා තවත් පැයක් යනතුරු ඔහුගේ නමට හෝ වෙනත් කිසිම දෙයකට පිළිතුරු දීමට ඔහුට නොහැකි වනු ඇත -- අපි මුලින්ම කතා කරන්නේ ඩන්බාර් ය.
10006,කෙන්ඩල් ජූනියර් තවමත් ශල්‍යකර්මයක යෙදී සිටින නිසා තවත් පැයක් යනතුරු ඔහුගේ නමට හෝ වෙනත් කිසිම දෙයකට පිළිතුරු දීමට ඔහුට නොහැකි වනු ඇත -- අපි මුලින්ම කතා කරන්නේ ඩන්බාර් ය.,ඔහු ප්‍රශ්න කිරීමකද?
10007,ඔහු ප්‍රශ්න කිරීමකද?,ඔව්.
10008,ඔව්.,ඔහුව ගෙන යන්න.
10009,ඔහුව ගෙන යන්න.,මන්ද?
10010,මන්ද?,"මක්නිසාද යත්, ප්‍රශ්න කිරීම් කාමර සැක සහිත ලෙස පෙනෙන්නේ ප්‍රශ්න කිරීම් කාමර මෙන් වන අතර, එය මිනිසුන්ට හරියටම පහසු නොවේ. ඔහු හුරතල්ද?"
10011,"මක්නිසාද යත්, ප්‍රශ්න කිරීම් කාමර සැක සහිත ලෙස පෙනෙන්නේ ප්‍රශ්න කිරීම් කාමර මෙන් වන අතර, එය මිනිසුන්ට හරියටම පහසු නොවේ. ඔහු හුරතල්ද?",මට සමාවෙන්න?
10012,මට සමාවෙන්න?,ඩන්බාර් හුරතල්ද?
10013,ඩන්බාර් හුරතල්ද?,ඒක තමයි වඩාත්ම වෘත්තීය නොවන --
10014,ඒක තමයි වඩාත්ම වෘත්තීය නොවන --,"ඔහු කඩවසම්ද, ආත්ම විශ්වාසයෙන්ද, හොඳින් උසුලන්නේද, ඔහු ඔබේ දෑස් දෙස හෝ බිම බලා සිටිනවාද, ඔහුට හොඳ ඇටකටු තිබේද, හොඳ බෝ කිරීමක් යෝජනා කරයිද, ඔහු වැතිර සිටිනවාද, කෙලින් ඉඳගන්නවාද -- මේවා වැදගත් ප්‍රශ්න වේ. මේ මිනිසාගේ චරිතය ගැන බොහෝ දේ හෙළි කරන්න, එබැවින් කරුණාකර තත්පර දෙකහමාරක් ඔබෙන් මිදී මට කියන්න ඔහු හුරතල්ද?"
10015,"ඔබට ස්තුතියි. එතන කොයි වෙලාවක හරි මම නහය පිහදාගන්නවා. මම එසේ කරන විට, ඔබට ඇති සියල්ල රැගෙන ඔහු වෙත යන්න.",හොඳ පොලිස්කාරයෙක්/නරක පොලිස්කාරයෙක්?
10016,හොඳ පොලිස්කාරයෙක්/නරක පොලිස්කාරයෙක්?,ඒ වගේ දෙයක්.
10017,"මම පැය තුනක් තිස්සේ ඔහුගෙන් ප්‍රශ්න කළ අතර ඔහු සද්දයක් නොනැගුවා. ඔබට ලාංඡනයක් නැත, ඔහු ඔබ සමඟ කතා නොකරනු ඇත.",රුපියල් දහයක් කියනවා මට ඔහු විනාඩි තුනකට අඩු කාලයකින් කතා කරනවා.
10018,"කර්නල් දැක්කා ඔයා නුනෙස්ට වෙඩි තියනවා, ඔයා මිනීමරුවෙක් --","බලන්න, රේ, මේකට තමයි අපි කියන්නේ ""හොඳ පොලිස්කාරයා, නරක පොලිස්කාරයා"" කියලා. ඇය කෑගසයි, මම ඔබ වෙනුවෙන් පෙනී සිටිමි, ඔබ කෘතඥ වෙනවා, විශ්වාසයේ බැඳීමක් ඇති වේ."
10019,බේස්බෝල්?,කවුරුහරි මට ඩොලර් දහයක් ණයයි කියලා මම විශ්වාස කරනවා --
10020,කවුරුහරි මට ඩොලර් දහයක් ණයයි කියලා මම විශ්වාස කරනවා --,ඔයා මාව මෝඩයෙක් වගේ කළා...
10021,ඔයා මාව මෝඩයෙක් වගේ කළා...,"අපොයි, මට සමාවෙන්න, මම දැනගෙන හිටියේ නැහැ ප්‍රශ්න කිරීමේ අරමුණ ඔබව හොඳ පෙනුමක් ලබා දීම -- හැමෝම දන්නවා හොඳ පොලිස්කාරයෙක්, නරක පොලිස්කාරයෙක් -- එය පිළිගැනීමෙන් මම විශ්වාසවන්ත ලෙස පෙනී සිටියා."
10022,ඇත්තටම දැන් ඔය වගේ banal chit-chat කරන්න ඕනද?,ඔයා හරි. අපි නිශ්ශබ්දව වාඩි විය යුතුයි.
10023,ඔයා හරි. අපි නිශ්ශබ්දව වාඩි විය යුතුයි.,අපි ඉන්නේ මිනීමැරුම් නඩුවකට මැදිවෙලා...
10024,අපි ඉන්නේ මිනීමැරුම් නඩුවකට මැදිවෙලා...,බැනල් චිට්-චැට් සඳහා හොඳම කාලය.
10025,එය කුමක් ද?,"Kendall සඳහා Microrecorder -- ඔහුගේ කාමරයට වයර් කිරීමට වෙලාවක් තිබුණේ නැත. දැන් මට කියන්න ඔයා හමුදාවට බැඳුනේ ඇයි කියලා, නැත්නම් මම මේ පෑන ඔයාගේ බෙල්ලෙන් ගහනවා."
10026,"සාමාන්‍ය හමුදා පිස්සන්ගේ කතාව. තාත්තා නොබැඳි කෙනෙක්, අම්මා හෙදියක්. සම්බන්ධ වීමට කිසි විටෙකත් සැබෑ සැකයක් නොතිබුණි.",ඔබේ තොටිල්ලට ඉහළින් බයිනෙත්තු ජංගම දුරකථනයක් තිබුණා.
10027,ඔබේ තොටිල්ලට ඉහළින් බයිනෙත්තු ජංගම දුරකථනයක් තිබුණා.,ඒ වගේ දෙයක්. ඔබට?
10028,ඒ වගේ දෙයක්. ඔබට?,මම ඔට්ටුවක් පැරදුණා.
10029,ඔබ විහිළු කරනවා.,"ඔව්. ඒක තමයි මම ගෑනු ළමයින්ට ඇඳට ගන්න කියන කතාව. ඇත්ත තමයි... මම දන්නේ නැහැ. සම්පූර්ණ ගෞරවය සහ යුතුකම. ලෝකේ වෙනසක් කරන්න, ඔය වගේ ජරාවක්. ඇත්තටම හරි ගියේ නෑ."
10030,මේ ඔයා කතා කරපු මට කෙළින්ම පහරක් නේද?,ඉතා සමානයි.
10031,ඉතා සමානයි.,මට කවදාවත් ඔබ වෙත ආකර්ෂණය විය හැකි ක්‍රමයක් නැති බව ඔබට තේරෙනවා නේද?
10032,මට කවදාවත් ඔබ වෙත ආකර්ෂණය විය හැකි ක්‍රමයක් නැති බව ඔබට තේරෙනවා නේද?,මම ඔබ මත වැඩීමට සැලසුම් කරමි.
10033,මම ඔබ මත වැඩීමට සැලසුම් කරමි.,ඔබ ප්‍රමාද වී ආරම්භයක් ලබා ඇත.
10034,ඔබ ප්‍රමාද වී ආරම්භයක් ලබා ඇත.,එසේ සටහන් කර ඇත.
10035,ඔයගොල්ලෝ ඇත්තටම මෙතනින් එහාට ගියා.,එතැනදී ඔවුන්ට එය කෙබඳු වන්නට ඇද්ද කියා සිතා බලන්න. ඩන්බාර් ගැන ඔබ සිතන්නේ කුමක්ද?
10036,එතැනදී ඔවුන්ට එය කෙබඳු වන්නට ඇද්ද කියා සිතා බලන්න. ඩන්බාර් ගැන ඔබ සිතන්නේ කුමක්ද?,ඔහු කාරණයක් දක්වා ඇත්ත කියනවා.
10037,ඔහු කාරණයක් දක්වා ඇත්ත කියනවා.,කුමන කරුණක් ද?
10038,කුමක් හෝ වරදක්ද?,නැවත මෙහි සිටීම. මට විලි දෙනවා.
10039,නැවත මෙහි සිටීම. මට විලි දෙනවා.,වඩාත්ම සතුටුදායක මතකයන් නොවේද?
10040,"මතක තබා ගන්න, ඔහු සෙනෙට් සභිකයෙකුගේ පුතෙක්, ඒ නිසා සැහැල්ලුවෙන් යන්න. ළමා අත්වැසුම්.",තේරුම් ගත්තා ද.
10041,ඒ ළමා අත්වැසුම්ද?,"බිය නොවන්න, ඔස්බෝන්, අපි තවමත් සටන් කිරීමට පටන් ගෙන නැත."
10042,නමුත් අපට ඔහුගෙන් ප්‍රශ්න කිරීමට සිදුවේ -- ඔබ සතුව සිගරට් නැතැයි සිතුවා --,මම බොරු කිව්වා. එය බලා සිටින්න...
10043,හරිම පිළිවෙලට. ඔබ කොපමණ කාලයක් විමර්ශකයෙකු වී තිබේද?,මම හිතන්නේ ඒකට කිසිම සම්බන්ධයක් නැහැ --
10044,මම හිතන්නේ ඒකට කිසිම සම්බන්ධයක් නැහැ --,"ඒ කියන්නේ අවුරුද්දකට අඩුයි. වසර දහයක පොලිස් සේවය මට උගන්වා ඇති දේ පැහැදිලි කිරීමට මට ඉඩ දෙන්න -- මිනීමැරීම මූලික ය. කුමන්ත්‍රණ නැත, මහා අභිරහස් නැත, ඒ සියල්ල පිටුපස නපුරු රූකඩ ස්වාමිවරු නැත, නූල් අදින්න; මිනීමැරීම යනු අශික්ෂිත මිනිසුන් අනෙක් ජරා මිනිසුන්ට ජරා වැඩක් කිරීමයි -- එය සැමවිටම තේරුමක් නැත, නමුත් එය සැමවිටම පිළිවෙලයි. ඩන්බාර් අපේ මිනිහා."
10045,මම නිකම්... එයා ආපහු ආවේ කෙන්ඩල් එකට. ඔහු මිනීමැරීමට සමත් යැයි මම නොසිතමි.,"හැමෝම මිනීමැරීමට සමත්, ඔස්බෝන්."
10046,"බලන්න, අපිට තියෙන්නේ Kendall කියන දේ විතරයි, ඔහු ඇත්තටම Nunez හැර කිසිම මරණයක් දැක්කේ නැහැ. ඔහු වෙස්ට් සොයා ගත්තේය, ඔහු මුලර් සහ පයික් දුටුවේය, නමුත් ඔවුන්ගේ සිරුරු පමණි -- කිසිම අපරාධයක් සිදු කර ඇති බව ඔහු දුටුවේ නැත.","හොඳයි, මට විශ්වාසයි මේ සියල්ල සිදු වන බව ඔහු දැන සිටියේ නම්, ඔහු ඔබ වෙනුවෙන් එය දැකීමට වඩා දැඩි උත්සාහයක් ගනු ඇත --"
10047,ඇයි මිනිහා සංයමයකින් නොසිටියේද?,මම දන්නේ නැහැ.
10048,"ශෛලීන්ට ඔහුව නැවත පැවරීමට නොහැකි විය, ඔහු පුරාවෘත්තයකි --","ඔහුගේ හැකියාව කුමක්දැයි ඔබ දැන සිටි අතර ඔබ සිටියේ පමණි. කවුරුහරි ඔහුගේ බූරුවා කඩා දමන තෙක් කාලය පිළිබඳ ප්‍රශ්නයක් පමණක් විය, ඔබ දන්නවාද? ඔහු එයට සුදුසු විය. ඔන්න ඔහේගේ පාපොච්චාරණය."
10049,"ගෝඩ්ඩමිට්, හාඩි, ඔයාට යන්න බෑ...",මාව බලාගන්න.
10050,මාව බලාගන්න.,ඔයා කිව්වා ඔයා ස්ටයිල්වලට ණයයි කියලා දැන් ඔයා එයාට පිටුපානවා කියලා?
10051,"බටහිර යක්ෂයෙක් විය! අවුරුදු පහළොවකට පෙර මම මෙහි සිටියෙමි, මම අටවන කොටස, මම පයික් විය. පිහි ව්‍යාජය වීම -- ඔහු කළේ, පයික් ගලවා දමා, මුළු රාත්‍රිය පුරාම ඔහුව එළිමහනේ සිටගෙන සිටිමින්ද? ඔහු සෑම වසරකම එය කළා, ඔහු මට එය කළා. අවුරුදු පහළොවකට පෙර, මට ඔහුව මැරීමට අවශ්‍ය විය, දැන් කවුරුන් හෝ ඔහුව අමනාප කළහොත් මම සැලකිලිමත් විය යුතුද? සමාවෙන්න, කරන්න බැහැ. මම උත්සාහ කළා.","ඔබ උත්සාහ කිරීමට වඩා වැඩි යමක් කළා. ඔබ විනාඩි තුනකට අඩු කාලයකදී ඩන්බාර් බිඳ දැමුවා, විමර්ශකයෙකු ලෙස ඔබ අතිවිශිෂ්ටයි --"
10052,"ඔබ උත්සාහ කිරීමට වඩා වැඩි යමක් කළා. ඔබ විනාඩි තුනකට අඩු කාලයකදී ඩන්බාර් බිඳ දැමුවා, විමර්ශකයෙකු ලෙස ඔබ අතිවිශිෂ්ටයි --",අල්ලස් ගැනීමේදී අතිවිශිෂ්ටයි නේද?
10053,"මම ඔයාව විශ්වාස කරන්න පටන් ගත්තා, ඔයා දන්නවද? ඔයා හැමෝම කියපු කෙනෙක් නෙවෙයි කියලා. මම හිතන්නේ මම වැරදියි ...","ඔහ්, ප්‍රතිලෝම මනෝවිද්‍යා ගොන් කතා මට ඉතිරි කරන්න! මෙය මගේ ""මහා දෙවන අවස්ථාව"" නොවේ, ඔස්බෝන්. හැමෝම හිතන්නේ මම සල්ලි ගත්තු ජරා පොලිස්කාරයෙක් කියලා ඒක වෙනස් කරන්න දෙයක් නැහැ කියලා. මෙතන මොකද වෙන්නේ කියලා කවුරුත් දන්නේ නෑ..."
10054,"ඔහ්, ප්‍රතිලෝම මනෝවිද්‍යා ගොන් කතා මට ඉතිරි කරන්න! මෙය මගේ ""මහා දෙවන අවස්ථාව"" නොවේ, ඔස්බෝන්. හැමෝම හිතන්නේ මම සල්ලි ගත්තු ජරා පොලිස්කාරයෙක් කියලා ඒක වෙනස් කරන්න දෙයක් නැහැ කියලා. මෙතන මොකද වෙන්නේ කියලා කවුරුත් දන්නේ නෑ...",නමුත් ඔබ එසේ කරනු ඇත.
10055,ඔබ සැලකිලිමත් වන්නේ ඇයි?,"මොකද ඒක මගේ වැඩක්. මොකද මිනිස්සු මැරිලා. මුළු ගෞරවය සහ යුතුකම නිසා, ලෝකයේ වෙනසක් කරන්න, එවැනි ජරාවක්. අපිට මේක කරන්න පුළුවන් හාඩි."
10056,මම බටහිරට වෙඩි තැබුවේ නැහැ ...,කුමක් ද?
10057,කුමක් ද?,"ඩන්බාර්... වෙස්ට් වෙඩි තිබ්බේ නෑ කිව්වා. වෙස්ට්ට වෙඩි වැදුනේ නැත, කෙන්ඩල් පැවසුවේ ඔහු පොස්පරස් අත්බෝම්බයකින් පිපිරුණු බවත් ඩන්බාර් කිසි දිනෙක සිරුර නොදුටු බවත්ය."
10058,අවම වශයෙන් ඔබ සහ කෙන්ඩල් එයට එකඟ වේ.,ඊළඟට මොකද වුණේ?
