,Question,Answer
6896,Phoebe-Phoebe-Phoebe-Phoebe-Burrrrr!,You really want to take me?
6897,"Yeah! Yeah! I mean I'm sorry, I wish I can take everybody, but y'know Chandler always supported my career. He's paid for acting classes and head shots and stuff and well this will be my way of paying you back.",So you're never actually going to pay me back?
6898,"It's not just the stuff he paid for, I mean it's-it's everything. Y'know? He read lines with me. He-he went with me on auditions when I was really nervous, and then he consoled me after I didn't get parts that I really wanted. You always believed in me man. Even, even when I didn't believe in myself.",I always knew you were gonna make it. I'm so proud of you.
6899,I'm gonna go shave.,"Yeah well, I'm gonna go spit."
6900,,This is so exciting! It's so glamorous! People taking our picture. How do I look?
6901,A little tall.,What?
6902,"Do you mind crouching down a little bit, so that I look taller? There you go.",It's just so glamorous.
6903,,Good job Joe! Well done! Top notch!
6904,You liked it? You really liked it?,"Oh-ho-ho, yeah!"
6905,Which part exactly?,The whole thing! Can we go?
6906,"Oh no-no-no, give me some specifics.","I love the specifics, the specifics were the best part!"
6907,"Hey, what about the scene with the kangaroo? Did-did you like that part?",I was surprised to see a kangaroo in a World War I epic.
6908,You fell asleep!! There was no kangaroo! They didn't take any of my suggestions! That's for coming buddy. I'll see you later.,"Don't go! I'm sorry. I'm so sorry! Look! This guy fell asleep! He fell asleep too! Be mad at him! Or, call an ambulance."
6909,Hey! Sleeping beauty!,Where have you been?! I tried to call you! I want to talk to you! I still feel so bad!
6910,"Oh no, were you upset? Did you lose sleep?",I'm so sorry.
6911,"Uh-huh look, the only reason I can over here was to settle things between us! Okay? You've done a lot for me and my career, I wanted to pay you back so I took you to the premiere but you missed it! Okay, so how much do I owe you?",What?!
6912,"Give me a number, I don't want to owe you anything!","You don't owe me anything, I don't want you money..."
6913,"Ah-ah-ah! We're doing this! Okay, now you got me my first set of head shots. Right, how much were those?","I don't know, five hundred dollars?"
6914,"Okay, five hundred dollars. What else?","Well then there was the second set, the infamous booger head shots."
6915,"Okay, so that's another five hundred. Five hundred and five hundred, that's...",Do you want a calculator?
6916,Please!,Here!
6917,"All right, what else?","Well uh, there was acting classes, stage combat classes, tap classes..."
6918,Which we're still keeping under our hats!,Uh then there was that dialect coach who helped you with that play where you needed a southern accent. Which after twenty hours of lessons still came out Jamaican.
6919,"""What the hell are you talking about, """"The south will rise again man.""""""","Yes, money well spent!"
6920,"Yeah. Okay, what else? Rent!","Okay, two, three years of rent, utilities, food..."
6921,,Hi!
6922,"Yes, I see that here. Unfortunately we can't guarantee a private room and currently they're all unavailable.","Man, if only you'd gotten here sooner."
6923,"Umm, this is going to be fun. Watch me freak out Chandler. Honey?",Yeah?
6924,"Listen uh, I-I've been doing some thinking, and I don't know whether it's because we're here or Rachel's giving birth but umm, I think we should try to have a baby.",Okay.
6925,What-what-what's that now?!,"Okay. I've been thinking about it too, and I, I think we're ready."
6926,You're ready to have a baby? My boy's all grown up!,But you said you were ready too.
6927,Yeah but I was just screwing with you to try to get your voice all high and weird like mine is now!,"Yes, but haven't you wanted a kid like forever?"
6928,What is going on with you? Since when are you so crazy about babies?,I'm not crazy about babies. I'm crazy about us.
6929,What?,"Look, we've always talked about having babies someday. I'm not saying it has to be right now, but I'm starting to think that we can handle it. We're good. We're really good."
6930,We are pretty good.,But nothing has to happen until your ready.
6931,"Well maybe I'm ready now. I mean, it's a little scary, but maybe it's right.",What?! It's not right! We're not ready to have a kid now!!
6932,What?!!,I'm kidding. This is going to be fun.
6933,"So we're gonna try? I mean, are we trying?","We're trying to get pregnant. Y'know I'm not really comfortable doing this in front of the babies. So, when do you want to start trying?"
6934,"Okay, hold on a sec.",Period math?
6935,Yeah.,Yeah.
6936,"Well, we could start trying. Now.",Right here?
6937,"No, not here. Maybe here.","Wait a minute, it's perfect. We got a lot of time to kill and we're in a building that's full of beds!"
6938,I think we found a place.,Okay.
6939,"Umm, wait! Do you want to set the mood a little?","Okay. Uh, we'll dim the lights, dim the lights. Or turn them out all together. Uh, no scented candles. Okay here. Here we go."
6940,Okay. Let's hurry-Oh wait! Do we have a condom? Oh right!,"Yes, 98.6. You're gonna be fine."
6941,,Should we tell Rachel there's an empty private room right next door to hers?
6942,"We could, or we can have sex in it.","Well let me think about that, while I remove my pants!"
6943,Does that sound like Janice?,"If it's not, then there's two of them. And that would mean it's the end of the world!"
6944,Hey!,Hi.
6945,Oh not bad. Do you know that feeling when you're trying to blow a Saint Bernard out your ass?,Weirdest thing. Did I hear--Mother of God it's true!
6946,Chandler Bing!,Jan-Janice!
6947,"Oh, this should be easy. I have a very wide pelvis. You remember Chandler.",Janice I didn't even know you were pregnant! Who's the unwitting human who's essence you've stolen?
6948,It's you. This is yours.,What?!
6949,Look how nervous he gets! We haven't slept together in years!,That's funny. Does it-does it hurt? Does the labor hurt?
6950,"Oh my God! She's amazing. Oh, oh I'm so glad you guys got drunk and had sex!","It's incredible, I mean one minute she's inside you and then 47 hours later here she is."
6951,Ohhh.,"So, do you know what you're gonna call her yet?"
6952,"That's not her name! I'm sorry, she just doesn't feel like an Isabella.",So then I guess Ferdinad is out.
6953,"Ugh, easy for you to say, you already know what your kids names are going to be.",You do?
6954,"Yeah, I've had them picked out since I was fourteen.","Oh no, it's gonna be named after some snack or baked good isn't it?"
6955,,That was amazing.
6956,"I know. Hey, do you realize we may have just changed our lives forever? We may have just started a family. Nine months from now we can be here, having our own baby.","And if not, we got to do it on a bucket."
6957,Where's my granddaughter? I've been practicing my magic tricks.,He pulled a quarter out of my ear!
6958,So when do I get to meet Emma and show her this?,Okay. Wow.
6959,"Hey Chandler, can I talk to you for a second?",Sure.
6960,Dude I just did something terrible.,That was you?! I thought it was Jack!
6961,"No! No, that was Jack! Rachel thinks I asked her to marry me!",What?! Why does she think that?
6962,Because it kinda looked like I did.,"Again, what?!"
6963,"Okay well, I was down on one knee with the ring in my hand.",As we all are at some point during the day.
6964,It wasn't my ring! It fell out of Ross's jacket! And when I knelt down to pick it up Rachel thought I was proposing!,Ross had a ring?! And he was gonna propose?
6965,I guess.,And you did it first?! This is gonna kill him! You know how much he loves to propose!
6966,I know! I know it's awful.,"Well, what did she say?"
6967,She said yes.,Does Ross know?
6968,"Oh God, what the hell am I going to tell him?",Well maybe you don't have to tell him anything.
6969,"Oh, I like that. Yeah.","If you clear things up with Rachel then Ross never needs to find out, but you have to do it now before he hears about it and kicks your ass!"
6970,I want a baby.,"Honey, we've been over this. I need to be facing the other way."
6971,"Come on! Come on, if we have sex again it'll double our chances of getting pregnant. Do you think that closet's still available?","I'm so tired. Yeah okay, but no foreplay."
6972,Well I'm peeking. Oh my God!,"Hello sir, you know Monica."
6973,,"Look, we can't stay in here forever."
6974,"Oh, I still can't believe my dad saw us having sex! He didn't make it to one of piano recitals, but this he sees!","This is okay. We're all adults here; there's nothing to be ashamed of. Now, let's put our underwear in our pockets and walk out the door."
6975,Of course. I'll always be your dad.,"I just want you to know that what you witnessed in there, that wasn't for fun."
6976,It wasn't fun?!,"Why? Why-why-would you-Wh-why... Look, I just don't want you to think that we're animals who do it whenever we want."
6977,"Well you gotta get at it princess! When your mother and I were trying to conceive you, whenever she was ovulating, bam, we did it. That's how I got my bad hip.","That's funny, this conversation's how I got the bullet hole in my head."
6978,"But pleasure is important, and it helps if the woman has an orgasm. You up to the task sailor?","Seriously sir, my brains? All over the wall."
6979,,You still haven't told Rachel you weren't really proposing?
6980,"No! She had the ring on, she seemed so excited, and then she took her breast out.","Joey, you have to tell her what's going on! And what did it look like?!"
6981,I didn't look at it. Stupid baby's head was blocking most of it.,Go and tell Rachel right now before Ross finds out.
6982,"Look, it's not that easy. She said she wanted to marry me. I don't want to hurt her.","Okay, look, just do it gently."
6983,Hey dad!,Hey.
6984,So sexy. Honey.,Yea yea.
6985,Honey why don't you go lie down.,"No, no, Ross and Rachel will be back soon and then I gotta go to the office Am I producing them?"
6986,Why're you so tired?,"Couldn't sleep last night you know, then I started worrying about this big divisional meeting that I have later today, the more I worried about it the more I couldn't sleep. Y'know? I was like, if I fall asleep now I'll get six hours sleep, but if I fall asleep now I'll get five hours sleep. Not matter what I did I couldn't fall asleep."
6987,"See this is what I was afraid of, I didn't think I should be here either but somebody said he'd be over it by now.","Hey, what do I know? I wanted to get a bigger gorilla."
6988,"Boston is down, Atlanta is down, Houston is down, I could go on and on but instead of boring you I'll go straight to my forty two point plan.",Walter .
6989,"Ok if everyone's on board, it's settled, Chandler, Chandler?",Yep.
6990,Are you on board?,Yes.
6991,"Alright you guys, we can't turn on each other, Okay? That's just what she wants.",Hey.
6992,Hey.,Monica can I talk to you outside for a minute?
6993,Oh I'm kinda part of this.,Actually Pheebs its more of a husband and wife kinda thing.
6994,Okay what's up.,"Umm, you know how we always said that it would be fun to move to Paris for a year? You know, you could study French cooking and I could write and we could take a picnic along the Seine and go wine tasting in Bordeaux?"
6995,Oh yeah .,"Okay, you know how that people say that Tulsa is the Paris of Oklahoma?"
6996,What? Who says that?,People who've never ever been to Paris.
6997,What's going on?,We're moving to Tulsa!
6998,Excuse me?,"Okay, Ms. McKenna, she kind of works above my boss, she asked me to move to Tulsa and be the president of our office there, and I was sleeping and apparently, said yes."
6999,"Tulsa, Oklahoma!","The Sooner State, whatever that is."
7000,"Chandler, I don't even wanna see the musical Oklahoma!",Really? Oh What A Beautiful Morning! Surrey With A Fringe On Top.
7001,"Are you trying to tell me that we're moving to Oklahoma, or that you're gay? All right, not that this matters, but did they at least offer you a huge raise?","No, no, but they are going to lease us a Ford Focus. I'll get out of it."
7002,Thank you.,What is wrong with Emma?
7003,,"Umm ma'am, do you have a minute? I kind of have some bad news. I don't think I can move to Tulsa."
7004,What?,"It's a funny story, actually. I kind of fell asleep in the meeting this morning so when I said I'd move to Tulsa, I didn't really know what I was saying."
7005,You fell asleep?,"But only because I was up all night worried about this meeting, ain't that funny? Irony? Not a fan, alright . See, here's the thing. I went home and told my wife about Tulsa and she won't go. See, me, I love Tulsa! Tulsa is heaven! Tulsa is Italy-Please don't make me go there!"
7006,"Chandler, I.","No no no! Look, Carol, can I call you Carol? Wh-why would I when your name is Elaine? Oh what a great picture of your son, strapping! That's a picture of your daughter, isn't it, well she's lovely. I like a girl with a strong jaw. I'll call you from Tulsa."
7007,You know the book says that whenever she's sleeping I should be sleeping so...,Hey!
7008,Shhh! We just got her to go to sleep.,Oh so there can't be any yelling.
7009,No.,We're moving to Tulsa.
7010,What!?,"Shhhh! Shhhhh! Shhhhh! Shhhhh! I can't, I can't hear you."
7011,"You know, ah, I've been thinking about this and I gotta tell ya, it's not my fault. It's a natural instinct.","Hey, what you guys talking about?"
7012,Hey! So what's the big news you had us rush all the way over here for?,"Okay, our news. My company has asked me to head up our office in Tulsa , so as of Monday I'm being officially relocated."
7013,How long do you have to go for?,They said it could be up to a year.
7014,I kind of have to don't I? Because of this stupid thing.,"There is nothing like the support of your loving wife, huh?"
7015,"Wait a minute, you can't go to Tulsa. Maybe you forgot, but we've got tickets to the Jets game next week.","I'm sorry buddy, but I don't think I'm gonna be able to make it."
7016,"You can't go, I mean you're the glue that holds this group together!",Really?
7017,,Hey!
7018,Hey!,I've got good news!
7019,You got out of the whole Tulsa thing?,"Okay, I have news. You don't have to move to Tulsa. You can stay here and keep your job."
7020,So you're gonna be gone four days a week? No.,"I'm sorry, are you just used to saying that?"
7021,No. I can't be away from you for that long.,Really?
7022,"Yeah, you're my husband. I'm not gonna live in a different state than you for 208 days out of the year.",That's fast math! We could use you in Tulsa.
7023,"Honey, thanks for trying to figure out a way, but if you're going to Tulsa, I wanna go with you.","Hey, you said that without gagging!"
7024,Excuse me?,I know what she's talking about.
7025,"Oh, maybe he was getting him confused with his childhood therapist.",He saw a therapist?
7026,Hey!,Hey!
7027,What are you doing?,Looking for restaurant jobs for you in Tulsa.
7028,That's so sweet. Find anything?,Slim Pickings.
7029,"Nothing, huh?","No, 'Slim Pickings', it's a barbecue restaurant. They're looking for a cook. Actually 'cook' may be a bit of a stretch. They're looking for someone to shovel mesquite."
7030,'Slim Pickings'...That is so cheesy.,'So Cheesy' also has an opening.
7031,"Honey, that's okay. I actually know this woman, Nancy, who's a restaurant biz head-hunter. Maybe she'll know of something.",Can I just say how much I appreciate you coming with me. When we get to Tulsa I'm taking you for a great dinner at 'Slim Pickings'. 'So Cheesy'? 'Whole Hog'? It's going to be tough to keep Kosher in Tulsa.
7032,,"Honey, we're leaving tomorrow you've still got a lot of packing to do."
7033,You're right. Maybe I shouldn't go.,What?
7034,"So Nancy told me about this job at this great restaurant, Javo . It's just a little outside of Tulsa.",How far outside?
7035,Manhattan.,"And you're thinking of taking it? So before you said being me with me was more important than any job, but I guess now it's old job, me, new job."
7036,"I'm gonna miss this hand! Okay I know it's a lot to ask, but oh my God Chandler, this is a once in a lifetime opportunity.",What happened to 'you can't live without me four days a week'?
7037,"Well, if you really think about it, I mean four days is not that long. I mean, I see you Monday before you go to work, and I see you Thursday when you get back, and I always work late on Tuesdays, so really if you think about it, it's really just one day. And well, if we can't make it one day, we've got real problems my friend.",I think you should take the job.
7038,Really?,Yeah. I know it must be important to you when you start chattering like a monkey.
7039,He's a brilliant diagnostician!,Diagnostician or boo-boo fixer?
7040,"Why? Why? I know it's a little weird, but hey, he's a great doctor, okay? He knows my medical history, and every time I go in there, he makes a big deal. 'Ah look, it's my favorite patient!'",Does he say that before he sticks his thermometer in your touchy?
7041,"Hey, I seem to remember someone bringing his security blanket to college!",That was not a security blanket! That was a wall-hanging!
7042,I got held up at Dr. Gettleman's office. There was some guy that freaked everybody out.,"Well, you got here just in time. I really have to go buddy."
7043,Promise to call me when you land.,Of course I will call you. I love you.
7044,Bye Chandler.,Awww. Bye!
7045,Bye honey.,What's the matter Joe?
7046,I'm mad at you for leaving! You're nothing but a big leaver. Big leaver with a stupid suitcase.,Any chance you are trying to pick a fight to make all this easier?
7047,"Dude, you see right thru me!!","Well, bye Mon, bye Ross, Rachel, bye Emma!"
7048,"Chandler, wait. It goes: Old job, new job, you. This is just something I have to do.",I know.
7049,I love you so much.,I know that too.
7050,,"Don't worry, I'll be back before you know it. Yes it will be the same. Because I know, that's how. I promise."
7051,,"Oklahoma where the wind comes sweeping down the plane, STOP IT! Why couldn't they have sent me to Texas? 7 o clock maybe I'll hit the gym who am I kidding pay-per-view porn. -Cuts to Monica."
7052,"Oklahoma where the wind comes sweeping down the plane, STOP IT! Why couldn't they have sent me to Texas? 7 o clock maybe I'll hit the gym who am I kidding pay-per-view porn. -Cuts to Monica.",DO NOT DISTURB DO NOT DISTURB! Monica:
7053,: is everything all right?,"everything's great, just watching some regular television there, what a pleasant surprise."
7054,: I'm gonna go freshen up ok.,Ok honey. that was close. -Cut to Rachel.
7055,,Hi honey I'm home!
7056,": Hi, how was your flight?",oh it was great.
7057,": Here why don't you sit down, get yourself comfortable because I. have a little surprise for you.","well, well, well it must be five in Tulsa because it's six o clock IN NY.C!"
7058,: Ok This is how much I love you.,Honey why am I watching a bunch of sharks swimming around.
7059,: Is this not the good part? Do you want me to fast forward to something a little toothier.,no I'm not quite sure you got the right movie that's all.
7060,": Oh well this is the only one they had at our video store, but they did have something called crocodile killers. Or does it always have to be sharks?",does what always have to be sharks.
7061,": Honey look we can do something else, do you want me to get into the tub and thrash.",What's going on?
7062,": sweetie it's ok, I still love you, let me be a part of this.",let ME be a part of this!
7063,: I saw what you were doing in Tulsa. angry sharks turn you on!,no they don't.
7064,: then why were you watching them and giving YOURSELF a treat.,"OH MY GOD! When you came in I switched the channel, I was just watching regular porn."
7065,: really?,yeah just some good old fashion girl on girl American action.
7066,: I cannot tell you how happy that makes me!,"You are an amazing wife. No really you're amazing you were actually gonna do this for me, I mean where do you find the strength and understanding over something like that."
7067,,"Good morning everyone, it's nice to see our team together for the first time. Now, before we get started, are there any questions? Yes, Ken is it?"
7068,"That's right. Is it true, that the reason you are here in Tulsa is that you fell asleep in a meeting and took the job without realizing what you were saying yes to?","Well, don't believe everything you hear, Ken. But yeah, that's true. Alright, let's get started, by take a look at last quarter's figures. Ah, Claudia, aren't you supposed to blow smoke up the bosses' ass?"
7069,I'm sorry. Does the smoke bother you?,"No, no, no-no-no. I smoked for years, then I quit. Right now, I can't remember why. You're not allowed to smoke in this office. Not right?"
7070,"Yes, in Oklahoma it's legal to smoke in offices with fifteen people or less. Would you like one?","Alright, lo...look. I don't smoke anymore. But if the rest of you want to light up, go ahead, it's fine. So you all smoke then? That's almost rude, that I'm not."
7071,That's not true. If you don't wanna smoke ...,"Ken, please! No, I can't, I can't smoke. If I smoke, my wife would kill me."
7072,"I'm sorry, but isn't your wife back in New York?","I always liked you, Ken."
7073,"'kay, see you there. Happy humping! Hey...hey! Oh, wow, somebody smoked out here? Oh my god, don't people know, you're not allowed to smoke in public spaces?","Actually, in Oklahoma smoking is legal in all commune areas and offices with fewer than fifteen people."
7074,You smoked!,"No! I just happened t'do a lot trivias about smoking in different states. For example, in Hawaii cigarettes are called Leyhallalookoos."
7075,"Chandler, you stink of cigarettes.","Uch, do you think, Monica is gonna be able smell it?"
7076,Are you kidding? The woman has the nose of a bloodhound ... and the breasts of a Greek goddess.,Pheebs?
7077,I'm gonna go.,"Okay, something to cover the smell ... Oven cleaner! Unscented!"
7078,Welcome home. I've missed you. join me in the bedroom?,"No thanks, I'm good."
7079,"O-kay, so you wanna play it that way, do you?","Right. You know what? Actually I just get off the plane, so I'm feeling kinda gross. Maybe I should just take a shower."
7080,You don't need a shower.,"Alright, the truth is, I soiled myself during some turbulences."
7081,What do I smell? I smell smoke. Huh-did you smoke?,"Yes, but I just had one. Two. Two tiny cigarettes. Okay, five. A pack. Two pack...a...a carton. Three big fat cartons in two days. But it's over, I made a decision, I'm not gonna smoke anymore."
7082,,"But, those are for you."
7083,"How can you smoke in this day of age? Do you not seen that ad with a little kid walks to grandpa, it's chilling.","I messed up, it was a meeting, everybody was smoking."
7084,So what? Don't you have any will power?,Will power? I've watch home movies of you eating ding-dongs without taking the tin foil off.
7085,You said that was sexy!,"'kay, look: Can we just drop this? I'm not gonna smoke again."
7086,"That's right, because I forbid you to smoke again.",You forbid me?
7087,Mhmm.,"You know, I flew a long way t see my loving wife? Is she here by the way?"
7088,"Don't joke with me, okay? I'm very, very upset right now.","Oh, would you say this was the most upset you could be?"
7089,Yes.,"Then, I might as well ... do this . Not really sure what to do now."
7090,"Well, I'll tell you what we're gonna do: We are already late for Phoebe's birthday dinner, so you point out put out that cigarette, we're gonna put this fight on hold and go have sex.",Fine. What!?
7091,"Sex! This is the last day I'm ovulating, and when we don't do it now, we'll have to wait till next month.",You serious?
7092,Oh yeah!,"Right, fine, I'll do it, but no talking."
7093,"Huh, and no cuddling.",And no kissing your neck.
7094,"Oh good, I hate it when you do that.",And lots of kissing your neck.
7095,Spend more time with the tie. That'll make a baby.,"Look, I can't do this. I can't make luv to you while we're fighting this way."
7096,"Oh sure, now you're Mister Sensitivity. But when you wanted to have sex right after my uncle's funeral.","That was a celebration of life. Alright, look, I'm not gonna do this. Alright, is this really the way you want a baby to be conceived?"
7097,"No, you're right. Mnya, we shouldn't do it like this. Huch. For what it's worth, I'm, I'm sorry. I shouldn't have come down on you so hard about the smoking. So you had a few cigarettes, not the end of the world.",Mean it?
7098,Yah.,"You are incredible. Unless, I...I'm not gonna smoke again. And if I do, I promise, I will hide it so much better from you."
7099,D'you want to?,"Yeah, let's celebrate life!"
7100,,Uhh. You are welcome.
7101,You know what? Let's not talk.,What?
7102,Uch. I am still so mad at you for smoking.,But you said you forgave me. It was just a couple of cigarettes-no big deal.
7103,"Oh, blablablabaybaybay.",Leave it.
7104,I was just saying that because I was ovulating and you said you wouldn't have sex with me while we're fighting.,You tricked me to get me into bed?
7105,"That's right, I got mine.",I feel so used.
7106,"Well, we had a little fight.",I would never lie to get someone into bed.
7107,"You used to tell girls you were a Kennedy. Ooh, uh, thanks. Wow, little tight, isn't it? How d'you get a bigger table? You-you had a big table, but they made you move. Huh-huh, shut up Monica. Whoo, I suppose that Chandler will have the smoked duck.",I suppose that Monica will have the ... manipulative shrew.
7108,Y'guys ever heard the story about when Rosses mom went to the beauty salon?,You mean the lully story?
7109,"Uch, you see, I'm ovulating.","Oh yeah, that's what she says. But maybe you're not ovulating at all, maybe it's just a clever ruse to get me into bed."
7110,"Yes smokie, that is what it was. I just can't get enough.",You not gonna believe this: She lied! She tricked me into having sex with her.
7111,"So? Did have sex, right?",What's the matter with me? Why I'm such a girl?
7112,"See ya. Well, this is just us.",Mhum.
7113,"So, I'm, I'm probably still ovulating. Do you want to give it another try?","So you never had sex with a Kennedy, have you?"
7114,,Hello? Hello?
7115,I LOVE MY NEW JOB!,"Honey, you're screaming."
7116,YOU BET YOUR ASS I AM! I just had the best first day ever! The kitchen: twice as big as Allessandro's.,"Oh, that's great."
7117,"Yeah, a-a-and clean. Not just health department clean... Monica clean.",Awesome.
7118,,"Funniest guy she's ever met! I'm funny, right...? What do you know, you're a door... You just like knock-knock jokes... Save it for inside!"
7119,Heeeeeey!,Hey!
7120,Hey!,"So... Oklahoma is a crazy place. You know, they call it the Sooner state. Frankly I'd sooner be in any other state. And what's with Oklahoma having a pan handle? Can all states have stuff like that? Hey yeah, I'm from the waistband, Wyoming. But when I was seven, we headed over to the crotch."
7121,Was your cabin pressurised?,And don't get me started on the way that people from Tulsa talk.
7122,Okay.,"What's with the word y'all? You know, just... two words just... pushed together... Are we all allowed to do that, because if so, I say why stop there? You know, your new poodle could be your noodle. And fried chicken? Could be fricken.Waiter, waiter excuse me, I'll have the fricken? See, that's... that's funny with the fricken, right?"
7123,"No, it just remind me of something this guy did today at work. I told you about that funny guy, Geoffrey, right?","Yeah, he came up..."
7124,"Well, he did this bit... You probably had to be there, but it was Liza Minelli locked in our freezer, eating a raw chicken.",Were you there?
7125,,"Hey! I need you to set me up for a joke. Later, when Monica is around, I need you to ask me about fire trucks."
7126,Ooh. I-I don't know Chan. I'm not so good with remembering lines.,"Well, thank God your livelihood doesn't depend on it."
7127,"I know, right? Wh... Wh... Why are we doing this?",Monica says that her Maitre D. is the funniest guy she's ever met.
7128,Seriously? She actually said that?,Yes! Am I crazy to be this upset?
7129,Nooooo! Being funny is your thing!,Yeah!
7130,"""Without that, you just got """"lame with women"""".""",Ye....
7131,"Monica, you have to do some damage control here, okay. 'Cause he's feeling like...",Hey!
7132,Heeeyy! Hey!,What are you guys talking about?
7133,Uhm... Rachel and I hired a male nanny.,You got a man who's a nanny...? You got a manny...?
7134,You got a man who's a nanny...? You got a manny...?,"You know, I don't mind a... male nanny, but I do draw the line at a male wetnurse."
7135,"Ohhh, ooohhh... you are on a roll, mister!","If I'd known you guys were coming over, I would have brought more pizza."
7136,"Okay, okay... Chandler you... you stop it!",What is so funny about that?
7137,"Well, I don't know... I-It's... just the way you say it... I mean, you're funny... You have that funny thing. You're a funny guy!",Did you tell her what we talked about?
7138,Yeah....,So those were pity laughs? PITY LAUGHS?
7139,"Honey, listen... You have nothing to worry about with Geoffrey.",Oh yeah? Is he funnier than me?
7140,"Well, you're... you're different funny... I mean, you're... you're more sarcastic a-a-and... well, he does... bits... and impressions... and... and limericks...","I do limericks... uhm... There once was a man named Chandler, whose wife made him die inside."
7141,,"Well, I'm off to Tulsa, so if your Maitre D. friend has any funny Oklahoma jokes, tell him to e-mail me at www.hahanotsomuch.com."
7142,"Honey, you can relax. Last night at work, Geoffrey told this really sexist joke. After that, not so funny anymore.","Really...? See... that's the thing: you gotta keep it smart, people!"
7143,"Okay, don't miss that flight. You know I love you.",I love you too. And... I like you as a friend.
7144,Allright. See you later!,See ya!
7145,,Hi!
7146,Hey... hey listen... What do you guys know about investments?,How come?
7147,"Well, I just tape it to the back of my toilet tank. I didn't say that! It's in a bank guarded by robots!",Do you have any ideas?
7148,"Oh, and you know who's selling a great apartment? Richard!","Oh, and you know whose knowledge of her ex-boyfriend is shocking? Monica!"
7149,My dad told me. They play golf together.,"Oh, well... Maybe I'll join them some time. I just hope the club doesn't slip out of my hand and beat the moustache off his face."
7150,Hi I'm Joey. This is Chandler.,So how come Richard's selling the place? Went bankrupt? Medical malpractice? Choked on his own moustache?
7151,"Actually, he is buying a much bigger place. It's got a great view of Central Pa.....",mmm That's enough about you!
7152,"All the appliances are included. There is a lot of light, a new kitchen... I think you guys would be very happy here...","No, no, no, no, no, NO! No, no... we're not together. We're not a couple. We're definately not a couple."
7153,"Well, you seem pretty insulted by that. What? I'm not good enough for you?","We're not gonna have this conversation again... Look at this place. Why am I so intimidated by this guy? Pretentious art, this huge macho couch. When we know all he does is sit around all day crying about losing Monica to a real man! You don't think he's here, do you?"
7154,"You know what it is? It's a nice place but I gotta see I don't know if I see myself living here. Oh, oh, oh, let me see... Yeah, I could see it.","Look at these videos. You know, I mean, who does he think he is? Magnum Force, Dirty Harry, Cool Hand Luke... Oh my God!"
7155,What?,There's a tape here with Monica's name on it.
7156,Ooh! A tape with a girls name on it. It's probably a sex tape... Wait a minute... This says Monica... And this is Richard's apartment...,Get there faster!
7157,,"I'm not gonna watch it... I don't NEED to watch it... I mean, what good could possibly come from watching? Well, we know I'm gonna watch it."
7158,"Hey dude, what's up?","Don't judge me, I'm only human!"
7159,Did you take that tape?,"I had to! Okay, imagine you were married... and you found a tape of your wife in another guys' apartment... Wouldn't you need to know what was on it?"
7160,I don't know. Who'm I'm married to?,Some girl...!?
7161,She hot?,Yeah...!?
7162,How did she get me to settle down?,"Allright, I'm gonna watch it... I mean look, it's probably not even what I think it is... And even if it is... It can't possibly be as bad as what I'm picturing in my head... Can it?"
7163,"Guess I don't know. My experience: if a girl says yes to being taped... She doesn't say no to much else, I tell ya...",Then you're gonna have to watch it for me.
7164,What? Whoo... What?,"Just for a few seconds, so I can know what it is... Please?"
7165,"All right, fine... But if I enjoy this, you have only yourself to blame...",Why am I hearing cheering?
7166,"Well it's okay, its like... its just a football game.",Football? Just football?
7167,"Yeah, see... you were all worried for nothing.",It's football... It's just football... This is great! This is the first time I've ever enjoyed football... It may be customary to get a beer... What the... What are you doing?
7168,So you stole that tape from Richard's apartment?,Whoho ho... Listen to the judgement from the porn star!
7169,Why in the world would you take this tape and and why would you watch it?,"Because that's who I am, okay? I'm sure a mature man like Richard could see a tape like that and it wouldn't bother him. Just'd be another saucy anecdote for him to share at his men's club over brandy and moustaches."
7170,Is all this about you not being able to grow a moustache?,This is about you and Richard. He's clearly not over you. He keeps a tape so he can... look at it whenever he wants.
7171,"Isn't that sad? I mean, can you see how pathetic that is? You shouldn't be jealous. You should feel bad for him.","Oh, yeah, well, poor Richard. Y'... I can grow a moustache!"
7172,"Chandler, this is not our problem. We've got each other. That's all that matters.","Yeah, oh, but I just keep picturing you rolling around with him with your cowboy boots in the air..."
7173,Cowboy boots? I've never worn cowboy boots in my whole life!,"Oh, good, good. Play more, 'cause I wanna see how it ends."
7174,THAT'S NOT ME!,What...? That's not you! Life is good again! Ride 'em cowgirl!
7175,That bastard taped over me!,Is that a problem?
7176,"Hey Hon, could you help me get the plates down?","Yeah. Hey, here's an idea, why don't we use our wedding china today?"
7177,"No, I think we should save our china for something really special. Like if the Queen of England comes over.","Honey, she keeps canceling on us, take the hint."
7178,"What if something gets broken, they're so expensive.",What is the point of having them if we never use them?
7179,"Ok, but if something gets broken, and then the Queen comes over..",I will explain it to her.
7180,"Next up is a marching band from Muskogee, OK.",Muskogee! That's like four hours from Tulsa. Woo hoo!
7181,Oh my God!,Aren't you one of the stars of the popular daytime soap Days of Our Lives?
7182,Yeah! I totally forgot I'm supposed to be there. I can't believe I forgot. I usually write stuff like this on my arm. Oh! Stupid long sleeves.,What are you going to do?
7183,"""I guess I'm going to have to come up with a really good reason why I wasn't there. The producers are going to be so mad at me. They sat us all down yesterday and said """"Everyone has to be there at 6:00 AM sharp, that means you Tribbiani."""" Like.. like I was some kind of idiot.""",Well you proved them wrong.
